generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,933,149067,0,0,0,0
1,942,149058,6,5,1,1
2,954,149046,6,4,2,2
3,955,149045,3,2,2,2
4,962,149038,3,3,2,2
5,966,149034,2,0,2,2
6,971,149029,3,1,3,3
7,973,149027,5,5,3,3
8,985,149015,8,5,3,3
9,991,149009,8,6,4,4
10,1009,148991,12,2,5,5
11,1016,148984,7,18,3,3
12,1034,148966,9,14,2,2
13,1015,148985,7,4,3,3
14,1030,148970,9,6,3,3
15,1051,148949,8,4,4,4
16,1064,148936,10,6,5,5
17,1090,148910,9,9,5,5
18,1090,148910,14,17,4,4
19,1079,148921,9,5,5,5
20,1098,148902,11,8,5,5
21,1118,148882,13,3,7,7
22,1146,148854,12,16,6,6
23,1141,148859,20,11,8,8
24,1180,148820,24,19,8,8
25,1193,148807,16,28,6,6
26,1129,148871,17,23,5,5
27,1141,148859,20,13,7,7
28,1174,148826,17,16,7,7
29,1194,148806,18,11,8,8
30,1216,148784,20,12,9,9
31,1282,148718,23,22,8,8
32,1262,148738,19,27,7,7
33,1244,148756,25,11,10,10
34,1332,148668,30,31,9,9
35,1316,148684,30,20,11,11
36,1372,148628,27,32,9,9
37,1356,148644,25,15,11,11
38,1411,148589,41,27,12,12
39,1459,148541,34,30,13,13
40,1483,148517,43,43,12,12
41,1520,148480,49,43,13,13
42,1594,148406,45,55,11,11
43,1477,148523,32,58,8,8
44,1333,148667,31,30,10,9
45,1324,148676,32,36,9,9
46,1315,148685,31,26,10,10
47,1338,148662,30,34,9,9
48,1323,148677,31,22,10,10
49,1373,148627,30,37,9,9
50,1358,148642,42,12,14,13
51,1487,148513,31,61,8,8
52,1336,148664,32,29,10,10
53,1295,148705,35,38,10,10
54,1290,148710,25,25,10,10
55,1279,148721,27,26,10,10
56,1307,148693,28,33,9,9
57,1251,148749,24,22,10,10
58,1253,148747,23,16,11,11
59,1298,148702,27,25,11,11
60,1307,148693,26,21,11,11
61,1385,148615,24,30,10,10
62,1333,148667,30,24,11,11
63,1378,148622,33,38,10,10
64,1344,148656,41,31,12,12
65,1390,148610,42,37,12,12
66,1380,148620,37,40,11,12
67,1412,148588,29,32,11,11
68,1367,148633,26,25,11,12
69,1401,148599,35,24,13,13
70,1457,148543,30,30,12,12
71,1424,148576,32,33,12,12
72,1423,148577,35,28,13,13
73,1504,148496,39,40,12,13
74,1418,148582,39,51,11,12
75,1397,148603,40,32,12,13
76,1356,148644,27,41,11,11
77,1343,148657,40,19,14,15
78,1365,148635,38,44,13,14
79,1359,148641,44,29,15,16
80,1457,148543,38,54,12,13
81,1373,148627,31,30,13,13
82,1374,148626,41,37,13,14
83,1355,148645,33,46,12,12
84,1350,148650,35,38,11,12
85,1365,148635,43,23,14,15
86,1431,148569,25,44,11,11
87,1365,148635,34,29,12,13
88,1342,148658,32,37,11,12
89,1382,148618,33,30,11,12
90,1348,148652,38,42,11,12
91,1386,148614,34,33,11,12
92,1360,148640,33,41,10,11
93,1346,148654,33,24,11,12
94,1376,148624,37,39,10,12
95,1371,148629,34,20,12,14
96,1369,148631,29,51,9,11
97,1283,148717,36,30,11,12
98,1291,148709,27,36,10,11
99,1304,148696,31,23,11,12
100,1330,148670,33,38,10,11
101,1319,148681,35,28,11,12
102,1348,148652,28,26,11,12
103,1341,148659,29,26,11,13
104,1352,148648,34,28,12,13
105,1358,148642,35,39,11,13
106,1344,148656,42,37,12,14
107,1331,148669,27,38,11,12
108,1305,148695,44,24,13,15
109,1372,148628,44,38,14,16
110,1383,148617,35,32,14,16
111,1404,148596,43,42,14,16
112,1408,148592,41,25,16,18
113,1460,148540,46,52,14,17
114,1479,148521,54,46,15,17
115,1458,148542,46,62,13,16
116,1429,148571,65,46,16,19
117,1474,148526,46,60,14,16
118,1428,148572,65,36,18,21
119,1473,148527,45,72,14,16
120,1414,148586,74,45,18,21
121,1465,148535,68,78,16,19
122,1502,148498,49,58,15,17
123,1511,148489,48,39,16,18
124,1566,148434,73,42,19,22
125,1635,148365,60,74,16,19
126,1610,148390,70,48,19,22
127,1633,148367,69,84,17,20
128,1593,148407,76,58,20,23
129,1660,148340,79,81,19,22
130,1588,148412,76,66,20,24
131,1656,148344,59,90,16,19
132,1570,148430,60,47,19,22
133,1573,148427,55,70,17,20
134,1564,148436,59,48,18,21
135,1591,148409,68,69,18,21
136,1610,148390,67,57,19,22
137,1692,148308,67,78,17,19
138,1596,148404,70,67,18,21
139,1615,148385,81,65,19,23
140,1623,148377,75,83,18,22
141,1627,148373,70,85,17,20
142,1516,148484,71,79,17,20
143,1561,148439,56,54,17,20
144,1580,148420,54,61,16,19
145,1583,148417,61,57,16,19
146,1601,148399,68,70,16,19
147,1612,148388,61,63,15,18
148,1640,148360,68,56,16,19
149,1708,148292,77,68,17,20
150,1741,148259,55,78,14,17
151,1641,148359,70,69,15,18
152,1664,148336,62,55,16,18
153,1670,148330,61,75,14,17
154,1591,148409,59,55,15,18
155,1638,148362,55,66,14,16
156,1576,148424,65,53,16,18
157,1704,148296,66,70,14,17
158,1580,148420,59,65,15,17
159,1589,148411,57,49,15,18
160,1602,148398,49,59,14,17
161,1590,148410,65,52,16,18
162,1691,148309,60,56,15,18
163,1699,148301,72,56,17,20
164,1724,148276,59,66,16,18
165,1672,148328,68,60,17,20
166,1641,148359,71,71,17,21
167,1621,148379,74,75,17,21
168,1608,148392,78,81,17,21
169,1550,148450,69,63,18,22
170,1580,148420,64,65,18,22
171,1603,148397,73,75,18,21
172,1607,148393,80,74,18,22
173,1668,148332,58,78,16,18
174,1518,148482,54,59,17,20
175,1529,148471,57,56,17,19
176,1593,148407,66,42,18,22
177,1555,148445,57,77,17,20
178,1610,148390,73,50,19,22
179,1557,148443,57,80,17,20
180,1578,148422,57,63,16,19
181,1536,148464,64,58,17,20
182,1595,148405,62,57,17,20
183,1583,148417,56,61,16,19
184,1615,148385,72,52,18,21
185,1618,148382,54,77,16,18
186,1674,148326,64,48,17,20
187,1720,148280,56,57,16,19
188,1790,148210,67,46,18,21
189,1851,148149,62,73,16,19
190,1817,148183,59,70,15,18
191,1712,148288,61,54,17,20
