generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos ,,,,,,,
8017,24,9976,16,16,49,50,,,,,,,
8018,40,9960,16,0,49,50,,,,,,,
8019,24,9976,16,32,49,50,,,,,,,
8020,24,9976,16,16,49,50,,,,,,,
8021,30,9970,20,14,49,50,,,,,,,
8022,28,9972,18,20,49,50,,,,,,,
8023,34,9966,18,12,49,50,,,,,,,
8024,28,9972,20,26,49,50,,,,,,,
8025,40,9960,28,16,49,50,,,,,,,
8026,30,9970,16,26,49,50,,,,,,,
8027,46,9954,28,12,49,50,,,,,,,
8028,50,9950,28,24,49,50,,,,,,,
8029,52,9948,16,14,49,50,,,,,,,
9000,9,9991,12,18,253,255,,,,,,,
9001,21,9979,14,2,50,50,,,,,,,
9002,16,9984,12,17,50,50,,,,,,,
9003,34,9966,18,0,50,50,,,,,,,
9004,16,9984,14,32,50,50,,,,,,,
9005,18,9982,8,6,50,50,,,,,,,
9006,20,9980,14,12,50,50,,,,,,,
9007,28,9972,8,0,50,50,,,,,,,
9008,20,9980,8,16,50,50,,,,,,,
9009,18,9982,14,16,50,50,,,,,,,
9010,22,9978,8,4,50,50,,,,,,,
9011,12,9988,2,12,50,50,,,,,,,
9012,14,9986,6,4,50,50,,,,,,,
9013,12,9988,6,8,50,50,,,,,,,
9014,12,9988,8,8,50,50,,,,,,,
9015,16,9984,8,4,50,50,,,,,,,
9016,16,9984,8,8,50,50,,,,,,,
9017,24,9976,8,0,50,50,,,,,,,
9018,24,9976,16,16,50,50,,,,,,,
9019,40,9960,16,0,50,50,,,,,,,
9020,24,9976,16,32,50,50,,,,,,,
9021,24,9976,16,16,50,50,,,,,,,
9022,24,9976,16,16,50,50,,,,,,,
9023,24,9976,16,16,50,50,,,,,,,
9024,24,9976,16,16,50,50,,,,,,,
9025,24,9976,16,16,50,50,,,,,,,
9026,24,9976,16,16,50,50,,,,,,,
9027,24,9976,16,16,50,50,,,,,,,
9028,24,9976,16,16,50,50,,,,,,,
9029,24,9976,16,16,50,50,,,,,,,
10000,10,9990,16,16,120,120,,,,,,,
10001,24,9976,16,2,49,50,,,,,,,
10002,18,9982,14,20,49,50,,,,,,,
10003,40,9960,22,0,49,50,,,,,,,
10004,18,9982,16,38,49,50,,,,,,,
10005,18,9982,8,8,49,50,,,,,,,
10006,20,9980,14,12,49,50,,,,,,,
10007,28,9972,8,0,49,50,,,,,,,
10008,20,9980,8,16,49,50,,,,,,,
10009,20,9980,16,16,49,50,,,,,,,
10010,22,9978,8,6,49,50,,,,,,,
10011,18,9982,2,6,49,50,,,,,,,
10012,22,9978,12,8,49,50,,,,,,,
10013,20,9980,12,14,49,50,,,,,,,
10014,16,9984,8,12,49,50,,,,,,,
10015,12,9988,8,12,49,50,,,,,,,
10016,22,9978,12,2,49,50,,,,,,,
10017,18,9982,14,18,49,50,,,,,,,
10018,40,9960,22,0,49,50,,,,,,,
10019,18,9982,16,38,49,50,,,,,,,
10020,18,9982,8,8,49,50,,,,,,,
10021,20,9980,14,12,49,50,,,,,,,
10022,28,9972,8,0,49,50,,,,,,,
10023,20,9980,8,16,49,50,,,,,,,
10024,20,9980,16,16,49,50,,,,,,,
10025,22,9978,8,6,49,50,,,,,,,
10026,18,9982,2,6,49,50,,,,,,,
10027,22,9978,12,8,49,50,,,,,,,
10028,20,9980,12,14,49,50,,,,,,,
10029,16,9984,8,12,49,50,,,,,,,
11000,11,9989,8,12,54,54,,,,,,,
11001,27,9973,18,2,50,50,,,,,,,
11002,20,9980,16,23,50,50,,,,,,,
11003,46,9954,26,0,50,50,,,,,,,
11004,20,9980,18,44,50,50,,,,,,,
11005,24,9976,12,8,50,50,,,,,,,
11006,26,9974,18,16,50,50,,,,,,,
11007,34,9966,12,4,50,50,,,,,,,
11008,26,9974,12,20,50,50,,,,,,,
11009,26,9974,20,20,50,50,,,,,,,
11010,22,9978,8,12,50,50,,,,,,,
11011,22,9978,8,8,50,50,,,,,,,
11012,34,9966,16,4,50,50,,,,,,,
11013,18,9982,8,24,50,50,,,,,,,
11014,14,9986,8,12,50,50,,,,,,,
11015,6,9994,4,12,50,50,,,,,,,
11016,6,9994,4,4,50,50,,,,,,,
11017,6,9994,4,4,50,50,,,,,,,
11018,6,9994,4,4,50,50,,,,,,,
11019,6,9994,4,4,50,50,,,,,,,
11020,6,9994,4,4,50,50,,,,,,,
11021,6,9994,4,4,50,50,,,,,,,
11022,6,9994,4,4,50,50,,,,,,,
11023,6,9994,4,4,50,50,,,,,,,
11024,6,9994,4,4,50,50,,,,,,,
11025,6,9994,4,4,50,50,,,,,,,
11026,6,9994,4,4,50,50,,,,,,,
11027,6,9994,4,4,50,50,,,,,,,
11028,6,9994,4,4,50,50,,,,,,,
11029,6,9994,4,4,50,50,,,,,,,
12000,12,9988,4,4,25,25,,,,,,,
12001,30,9970,20,2,49,50,,,,,,,
12002,22,9978,18,26,49,50,,,,,,,
12003,52,9948,30,0,49,50,,,,,,,
12004,22,9978,20,50,49,50,,,,,,,
12005,30,9970,16,8,49,50,,,,,,,
12006,32,9968,18,16,49,50,,,,,,,
12007,40,9960,8,0,49,50,,,,,,,
12008,32,9968,8,16,49,50,,,,,,,
12009,32,9968,16,16,49,50,,,,,,,
12010,28,9972,4,8,49,50,,,,,,,
12011,28,9972,4,4,49,50,,,,,,,
12012,40,9960,12,0,49,50,,,,,,,
12013,24,9976,4,20,49,50,,,,,,,
12014,20,9980,4,8,49,50,,,,,,,
12015,12,9988,0,8,49,50,,,,,,,
12016,12,9988,0,0,49,50,,,,,,,
12017,12,9988,0,0,49,50,,,,,,,
12018,12,9988,0,0,49,50,,,,,,,
12019,12,9988,0,0,49,50,,,,,,,
12020,12,9988,0,0,49,50,,,,,,,
12021,12,9988,0,0,49,50,,,,,,,
12022,12,9988,0,0,49,50,,,,,,,
12023,12,9988,0,0,49,50,,,,,,,
12024,12,9988,0,0,49,50,,,,,,,
12025,12,9988,0,0,49,50,,,,,,,
12026,12,9988,0,0,49,50,,,,,,,
12027,12,9988,0,0,49,50,,,,,,,
12028,12,9988,0,0,49,50,,,,,,,
12029,12,9988,0,0,49,50,,,,,,,
13000,13,9987,0,0,45,46,,,,,,,
13001,33,9967,22,2,50,50,,,,,,,
13002,24,9976,20,29,50,50,,,,,,,
13003,58,9942,34,0,50,50,,,,,,,
13004,24,9976,22,56,50,50,,,,,,,
13005,36,9964,20,8,50,50,,,,,,,
13006,36,9964,22,22,50,50,,,,,,,
13007,52,9948,16,0,50,50,,,,,,,
13008,44,9956,24,32,50,50,,,,,,,
13009,68,9932,40,16,50,50,,,,,,,
13010,38,9962,12,42,50,50,,,,,,,
13011,26,9974,12,24,50,50,,,,,,,
13012,30,9970,16,12,50,50,,,,,,,
13013,36,9964,22,16,50,50,,,,,,,
13014,30,9970,18,24,50,50,,,,,,,
13015,38,9962,16,8,50,50,,,,,,,
13016,26,9974,20,32,50,50,,,,,,,
13017,32,9968,18,12,50,50,,,,,,,
13018,28,9972,12,16,50,50,,,,,,,
13019,32,9968,20,16,50,50,,,,,,,
13020,24,9976,12,20,50,50,,,,,,,
13021,16,9984,6,14,50,50,,,,,,,
13022,12,9988,4,8,50,50,,,,,,,
13023,10,9990,6,8,50,50,,,,,,,
13024,6,9994,4,8,50,50,,,,,,,
13025,6,9994,4,4,50,50,,,,,,,
13026,6,9994,4,4,50,50,,,,,,,
13027,6,9994,4,4,50,50,,,,,,,
13028,6,9994,4,4,50,50,,,,,,,
13029,6,9994,4,4,50,50,,,,,,,
14000,14,9986,4,4,21,21,,,,,,,
14001,36,9964,24,2,49,50,,,,,,,
14002,26,9974,22,32,49,50,,,,,,,
14003,64,9936,38,0,49,50,,,,,,,
14004,26,9974,24,62,49,50,,,,,,,
14005,42,9958,24,8,49,50,,,,,,,
14006,40,9960,26,28,49,50,,,,,,,
14007,60,9940,20,0,49,50,,,,,,,
14008,40,9960,24,44,49,50,,,,,,,
14009,56,9944,40,24,49,50,,,,,,,
14010,48,9952,18,26,49,50,,,,,,,
14011,44,9956,24,28,49,50,,,,,,,
14012,60,9940,30,14,49,50,,,,,,,
14013,42,9958,18,36,49,50,,,,,,,
14014,32,9968,6,16,49,50,,,,,,,
14015,24,9976,4,12,49,50,,,,,,,
14016,36,9964,16,4,49,50,,,,,,,
14017,24,9976,8,20,49,50,,,,,,,
14018,28,9972,8,4,49,50,,,,,,,
14019,28,9972,8,8,49,50,,,,,,,
14020,28,9972,8,8,49,50,,,,,,,
14021,28,9972,12,12,49,50,,,,,,,
14022,32,9968,16,12,49,50,,,,,,,
14023,40,9960,12,4,49,50,,,,,,,
14024,32,9968,8,16,49,50,,,,,,,
14025,20,9980,8,20,49,50,,,,,,,
14026,12,9988,8,16,49,50,,,,,,,
14027,8,9992,4,8,49,50,,,,,,,
14028,0,10000,0,8,0,0,,,,,,,
14029,0,10000,0,0,0,0,,,,,,,
15000,15,9985,0,0,0,0,,,,,,,
15001,39,9961,26,2,50,50,,,,,,,
15002,28,9972,24,35,50,50,,,,,,,
15003,70,9930,42,0,50,50,,,,,,,
15004,28,9972,26,68,50,50,,,,,,,
15005,48,9952,28,8,50,50,,,,,,,
15006,44,9956,30,34,50,50,,,,,,,
15007,72,9928,28,0,50,50,,,,,,,
15008,52,9948,32,52,50,50,,,,,,,
15009,90,9910,54,16,50,50,,,,,,,
15010,48,9952,28,70,50,50,,,,,,,
15011,56,9944,18,10,50,50,,,,,,,
15012,66,9934,24,14,50,50,,,,,,,
15013,70,9930,26,22,50,50,,,,,,,
15014,54,9946,22,38,50,50,,,,,,,
15015,60,9940,26,20,50,50,,,,,,,
15016,48,9952,30,42,50,50,,,,,,,
15017,58,9942,24,14,50,50,,,,,,,
15018,32,9968,18,44,50,50,,,,,,,
15019,30,9970,20,22,50,50,,,,,,,
15020,30,9970,16,16,50,50,,,,,,,
15021,22,9978,8,16,50,50,,,,,,,
15022,22,9978,16,16,50,50,,,,,,,
15023,22,9978,16,16,50,50,,,,,,,
15024,34,9966,16,4,50,50,,,,,,,
15025,30,9970,16,20,50,50,,,,,,,
15026,30,9970,20,20,50,50,,,,,,,
15027,38,9962,20,12,50,50,,,,,,,
15028,38,9962,20,20,50,50,,,,,,,
15029,54,9946,20,4,50,50,,,,,,,
16000,16,9984,36,36,168,168,,,,,,,
16001,42,9958,28,2,49,50,,,,,,,
16002,30,9970,26,38,49,50,,,,,,,
16003,76,9924,46,0,49,50,,,,,,,
16004,30,9970,28,74,49,50,,,,,,,
16005,54,9946,32,8,49,50,,,,,,,
16006,48,9952,34,40,49,50,,,,,,,
16007,84,9916,36,0,49,50,,,,,,,
16008,48,9952,32,68,49,50,,,,,,,
16009,64,9936,40,24,49,50,,,,,,,
16010,48,9952,26,42,49,50,,,,,,,
16011,46,9954,14,16,49,50,,,,,,,
16012,52,9948,16,10,49,50,,,,,,,
16013,36,9964,22,38,49,50,,,,,,,
16014,30,9970,16,22,49,50,,,,,,,
16015,22,9978,4,12,49,50,,,,,,,
16016,28,9972,10,4,49,50,,,,,,,
16017,24,9976,8,12,49,50,,,,,,,
16018,32,9968,8,0,49,50,,,,,,,
16019,36,9964,16,12,49,50,,,,,,,
16020,52,9948,16,0,49,50,,,,,,,
16021,20,9980,8,40,49,50,,,,,,,
16022,28,9972,16,8,49,50,,,,,,,
16023,24,9976,12,16,49,50,,,,,,,
16024,24,9976,16,16,49,50,,,,,,,
16025,32,9968,16,8,49,50,,,,,,,
16026,32,9968,16,16,49,50,,,,,,,
16027,48,9952,16,0,49,50,,,,,,,
16028,48,9952,32,32,49,50,,,,,,,
16029,80,9920,32,0,49,50,,,,,,,
17000,17,9983,24,68,104,105,,,,,,,
17001,45,9955,30,2,50,50,,,,,,,
17002,32,9968,28,41,50,50,,,,,,,
17003,82,9918,50,0,50,50,,,,,,,
17004,32,9968,30,80,50,50,,,,,,,
17005,60,9940,36,8,50,50,,,,,,,
17006,52,9948,38,46,50,50,,,,,,,
17007,96,9904,44,0,50,50,,,,,,,
17008,50,9950,34,80,50,50,,,,,,,
17009,64,9936,40,26,50,50,,,,,,,
17010,48,9952,26,42,50,50,,,,,,,
17011,46,9954,14,16,50,50,,,,,,,
17012,52,9948,16,10,50,50,,,,,,,
17013,44,9956,18,26,50,50,,,,,,,
17014,42,9958,16,18,50,50,,,,,,,
17015,42,9958,8,8,50,50,,,,,,,
17016,36,9964,10,16,50,50,,,,,,,
17017,36,9964,12,12,50,50,,,,,,,
17018,48,9952,12,0,50,50,,,,,,,
17019,44,9956,16,20,50,50,,,,,,,
17020,68,9932,32,8,50,50,,,,,,,
17021,40,9960,16,44,50,50,,,,,,,
17022,24,9976,8,24,50,50,,,,,,,
17023,24,9976,4,4,50,50,,,,,,,
17024,16,9984,0,8,50,50,,,,,,,
17025,16,9984,0,0,50,50,,,,,,,
17026,16,9984,0,0,50,50,,,,,,,
17027,16,9984,0,0,50,50,,,,,,,
17028,16,9984,0,0,50,50,,,,,,,
17029,16,9984,0,0,50,50,,,,,,,
18000,18,9982,0,0,44,44,,,,,,,
18001,48,9952,32,2,49,50,,,,,,,
18002,34,9966,30,44,49,50,,,,,,,
18003,88,9912,54,0,49,50,,,,,,,
18004,34,9966,32,86,49,50,,,,,,,
18005,66,9934,40,8,49,50,,,,,,,
18006,56,9944,42,52,49,50,,,,,,,
18007,108,9892,52,0,49,50,,,,,,,
18008,52,9948,36,92,49,50,,,,,,,
18009,64,9936,40,28,49,50,,,,,,,
18010,48,9952,26,42,49,50,,,,,,,
18011,46,9954,14,16,49,50,,,,,,,
18012,52,9948,16,10,49,50,,,,,,,
18013,44,9956,18,26,49,50,,,,,,,
18014,46,9954,20,18,49,50,,,,,,,
18015,54,9946,16,8,49,50,,,,,,,
18016,40,9960,22,36,49,50,,,,,,,
18017,64,9936,40,16,49,50,,,,,,,
18018,24,9976,8,48,49,50,,,,,,,
18019,4,9996,4,24,49,50,,,,,,,
18020,0,10000,0,4,0,0,,,,,,,
18021,0,10000,0,0,0,0,,,,,,,
18022,0,10000,0,0,0,0,,,,,,,
18023,0,10000,0,0,0,0,,,,,,,
18024,0,10000,0,0,0,0,,,,,,,
18025,0,10000,0,0,0,0,,,,,,,
18026,0,10000,0,0,0,0,,,,,,,
18027,0,10000,0,0,0,0,,,,,,,
18028,0,10000,0,0,0,0,,,,,,,
18029,0,10000,0,0,0,0,,,,,,,
19000,19,9981,0,0,0,0,,,,,,,
19001,51,9949,34,2,50,50,,,,,,,
19002,36,9964,32,47,50,50,,,,,,,
19003,94,9906,58,0,50,50,,,,,,,
19004,36,9964,34,92,50,50,,,,,,,
19005,72,9928,44,8,50,50,,,,,,,
19006,60,9940,46,58,50,50,,,,,,,
19007,120,9880,60,0,50,50,,,,,,,
19008,54,9946,38,104,50,50,,,,,,,
19009,70,9930,44,28,50,50,,,,,,,
19010,54,9946,30,46,50,50,,,,,,,
19011,52,9948,18,20,50,50,,,,,,,
19012,58,9942,20,14,50,50,,,,,,,
19013,50,9950,22,30,50,50,,,,,,,
19014,52,9948,24,22,50,50,,,,,,,
19015,60,9940,20,12,50,50,,,,,,,
19016,50,9950,26,36,50,50,,,,,,,
19017,74,9926,48,24,50,50,,,,,,,
19018,46,9954,24,52,50,50,,,,,,,
19019,42,9958,22,26,50,50,,,,,,,
19020,36,9964,10,16,50,50,,,,,,,
19021,22,9978,10,24,50,50,,,,,,,
19022,32,9968,16,6,50,50,,,,,,,
19023,20,9980,16,28,50,50,,,,,,,
19024,4,9996,4,20,50,50,,,,,,,
19025,0,10000,0,4,0,0,,,,,,,
19026,0,10000,0,0,0,0,,,,,,,
19027,0,10000,0,0,0,0,,,,,,,
19028,0,10000,0,0,0,0,,,,,,,
19029,0,10000,0,0,0,0,,,,,,,
20000,20,9980,0,0,0,0,,,,,,,
20001,54,9946,36,2,49,50,,,,,,,
20002,38,9962,34,50,49,50,,,,,,,
20003,100,9900,62,0,49,50,,,,,,,
20004,38,9962,36,98,49,50,,,,,,,
20005,78,9922,48,8,49,50,,,,,,,
20006,64,9936,50,64,49,50,,,,,,,
20007,132,9868,68,0,49,50,,,,,,,
20008,56,9944,40,116,49,50,,,,,,,
20009,76,9924,48,28,49,50,,,,,,,
20010,60,9940,30,46,49,50,,,,,,,
20011,58,9942,14,16,49,50,,,,,,,
20012,64,9936,16,10,49,50,,,,,,,
20013,56,9944,18,26,49,50,,,,,,,
20014,58,9942,20,18,49,50,,,,,,,
20015,66,9934,16,8,49,50,,,,,,,
20016,56,9944,22,32,49,50,,,,,,,
20017,88,9912,52,20,49,50,,,,,,,
20018,36,9964,12,64,49,50,,,,,,,
20019,16,9984,8,28,49,50,,,,,,,
20020,8,9992,0,8,49,50,,,,,,,
20021,8,9992,0,0,49,50,,,,,,,
20022,8,9992,0,0,49,50,,,,,,,
20023,8,9992,0,0,49,50,,,,,,,
20024,8,9992,0,0,49,50,,,,,,,
20025,8,9992,0,0,49,50,,,,,,,
20026,8,9992,0,0,49,50,,,,,,,
20027,8,9992,0,0,49,50,,,,,,,
20028,8,9992,0,0,49,50,,,,,,,
20029,8,9992,0,0,49,50,,,,,,,
21000,21,9979,0,0,18,19,,,,,,,
21001,57,9943,38,2,50,50,,,,,,,
21002,40,9960,36,53,50,50,,,,,,,
21003,106,9894,66,0,50,50,,,,,,,
