generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
374,9,2695,5,8,25,33
375,12,2692,6,3,26,33
376,9,2695,5,8,26,34
377,12,2692,6,3,25,34
378,9,2695,5,8,25,35
379,12,2692,6,3,26,35
380,9,2695,5,8,26,36
381,12,2692,6,3,25,36
382,9,2695,5,8,25,37
383,12,2692,6,3,26,37
384,9,2695,5,8,26,38
385,12,2692,6,3,25,38
386,9,2695,5,8,25,39
387,12,2692,6,3,26,39
388,9,2695,5,8,26,40
389,12,2692,6,3,25,40
390,9,2695,5,8,25,41
391,12,2692,6,3,26,41
392,9,2695,5,8,26,42
393,12,2692,6,3,25,42
394,9,2695,5,8,25,43
395,12,2692,6,3,26,43
396,9,2695,5,8,26,44
397,12,2692,6,3,25,44
398,9,2695,5,8,25,45
399,12,2692,6,3,26,45
400,9,2695,5,8,26,46
401,12,2692,6,3,25,46
402,9,2695,5,8,25,47
403,12,2692,6,3,26,47
404,9,2695,5,8,26,48
405,12,2692,6,3,25,48
406,9,2695,5,8,25,49
407,12,2692,6,3,26,45
408,9,2695,5,8,26,33
409,12,2692,6,3,25,33
410,9,2695,5,8,25,22
411,12,2692,6,3,26,21
412,9,2695,5,8,26,17
413,12,2692,6,3,25,9
414,9,2695,5,8,25,12
415,12,2692,6,3,26,1
416,9,2695,5,8,26,2
417,12,2692,6,3,25,2
418,9,2695,5,8,25,3
419,12,2692,6,3,26,3
420,9,2695,5,8,26,4
421,12,2692,6,3,25,4
422,9,2695,5,8,25,5
423,12,2692,6,3,26,5
424,9,2695,5,8,26,6
425,12,2692,6,3,25,6
426,9,2695,5,8,25,7
427,12,2692,6,3,26,7
428,9,2695,5,8,26,8
429,12,2692,6,3,25,8
430,9,2695,5,8,25,9
431,12,2692,6,3,26,9
432,9,2695,5,8,26,10
433,12,2692,6,3,25,10
434,9,2695,5,8,25,11
435,12,2692,6,3,26,11
436,9,2695,5,8,26,12
437,12,2692,6,3,25,12
438,9,2695,5,8,25,13
439,12,2692,6,3,26,13
