generation #, # alive cells, # dead cells, BORN, KILLED 
317,14,242,4,4
318,14,242,4,4
319,14,242,4,4
320,14,242,4,4
321,14,242,4,4
322,14,242,4,4
323,14,242,4,4
324,14,242,4,4
325,14,242,4,4
326,14,242,4,4
327,14,242,4,4
328,14,242,4,4
329,14,242,4,4
330,14,242,4,4
331,14,242,4,4
332,14,242,4,4
333,14,242,4,4
334,14,242,4,4
335,14,242,4,4
336,14,242,4,4
337,14,242,4,4
338,14,242,4,4
339,14,242,4,4
340,14,242,4,4
341,14,242,4,4
342,14,242,4,4
343,14,242,4,4
344,14,242,4,4
345,14,242,4,4
346,14,242,4,4
347,14,242,4,4
348,14,242,4,4
349,14,242,4,4
350,14,242,4,4
351,14,242,4,4
352,14,242,4,4
353,14,242,4,4
354,14,242,4,4
355,14,242,4,4
356,14,242,4,4
357,14,242,4,4
358,14,242,4,4
359,14,242,4,4
360,14,242,4,4
361,14,242,4,4
362,14,242,4,4
363,14,242,4,4
364,14,242,4,4
365,14,242,4,4
366,14,242,4,4
367,14,242,4,4
368,14,242,4,4
369,14,242,4,4
370,14,242,4,4
371,14,242,4,4
372,14,242,4,4
373,14,242,4,4
374,14,242,4,4
375,14,242,4,4
376,14,242,4,4
377,14,242,4,4
378,14,242,4,4
379,14,242,4,4
380,14,242,4,4
381,14,242,4,4
382,14,242,4,4
383,14,242,4,4
384,14,242,4,4
385,14,242,4,4
386,14,242,4,4
387,14,242,4,4
388,14,242,4,4
389,14,242,4,4
390,14,242,4,4
391,14,242,4,4
392,14,242,4,4
393,14,242,4,4
394,14,242,4,4
395,14,242,4,4
396,14,242,4,4
397,14,242,4,4
398,14,242,4,4
399,14,242,4,4
400,14,242,4,4
401,14,242,4,4
402,14,242,4,4
403,14,242,4,4
404,14,242,4,4
405,14,242,4,4
406,14,242,4,4
407,14,242,4,4
408,14,242,4,4
409,14,242,4,4
410,14,242,4,4
411,14,242,4,4
412,14,242,4,4
413,14,242,4,4
414,14,242,4,4
415,14,242,4,4
416,14,242,4,4
417,14,242,4,4
418,14,242,4,4
419,14,242,4,4
420,14,242,4,4
421,14,242,4,4
422,14,242,4,4
423,14,242,4,4
424,14,242,4,4
425,14,242,4,4
426,14,242,4,4
427,14,242,4,4
428,14,242,4,4
429,14,242,4,4
430,14,242,4,4
431,14,242,4,4
432,14,242,4,4
433,14,242,4,4
434,14,242,4,4
435,14,242,4,4
436,14,242,4,4
437,14,242,4,4
438,14,242,4,4
439,14,242,4,4
440,14,242,4,4
441,14,242,4,4
442,14,242,4,4
443,14,242,4,4
444,14,242,4,4
445,14,242,4,4
446,14,242,4,4
447,14,242,4,4
448,14,242,4,4
449,14,242,4,4
450,14,242,4,4
451,14,242,4,4
452,14,242,4,4
453,14,242,4,4
454,14,242,4,4
455,14,242,4,4
456,14,242,4,4
457,14,242,4,4
458,14,242,4,4
459,14,242,4,4
460,14,242,4,4
461,14,242,4,4
462,14,242,4,4
463,14,242,4,4
464,14,242,4,4
465,14,242,4,4
466,14,242,4,4
467,14,242,4,4
468,14,242,4,4
469,14,242,4,4
470,14,242,4,4
471,14,242,4,4
472,14,242,4,4
473,14,242,4,4
474,14,242,4,4
475,14,242,4,4
476,14,242,4,4
477,14,242,4,4
478,14,242,4,4
479,14,242,4,4
480,14,242,4,4
481,14,242,4,4
482,14,242,4,4
483,14,242,4,4
484,14,242,4,4
485,14,242,4,4
486,14,242,4,4
487,14,242,4,4
488,14,242,4,4
489,14,242,4,4
490,14,242,4,4
491,14,242,4,4
492,14,242,4,4
493,14,242,4,4
494,14,242,4,4
495,14,242,4,4
496,14,242,4,4
497,14,242,4,4
498,14,242,4,4
499,14,242,4,4
500,14,242,4,4
501,14,242,4,4
502,14,242,4,4
503,14,242,4,4
504,14,242,4,4
505,14,242,4,4
506,14,242,4,4
507,14,242,4,4
508,14,242,4,4
509,14,242,4,4
510,14,242,4,4
511,14,242,4,4
512,14,242,4,4
513,14,242,4,4
