generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
210,181,159819,79,91,170,199
211,179,159821,81,83,170,200
212,173,159827,72,78,170,200
213,170,159830,80,83,170,200
214,159,159841,61,72,171,201
215,167,159833,73,65,171,201
216,171,159829,64,60,171,201
217,167,159833,67,71,170,202
218,179,159821,71,59,171,200
219,162,159838,69,86,171,202
220,146,159854,53,69,172,203
221,151,159849,61,56,171,203
222,161,159839,65,55,172,203
223,161,159839,66,66,171,203
224,170,159830,72,63,172,202
225,175,159825,71,66,171,202
226,177,159823,70,68,171,202
227,178,159822,78,77,171,203
228,178,159822,71,71,171,202
229,179,159821,77,76,171,202
230,196,159804,78,61,171,202
231,183,159817,75,88,170,202
232,170,159830,68,81,170,203
233,152,159848,62,80,170,203
234,157,159843,64,59,170,203
235,151,159849,60,66,170,204
236,152,159848,60,59,170,204
237,146,159854,52,58,170,204
238,144,159856,46,48,170,204
239,150,159850,53,47,170,204
240,154,159846,57,53,170,204
241,161,159839,71,64,170,204
242,173,159827,65,53,169,203
243,148,159852,64,89,170,205
244,157,159843,69,60,170,204
245,137,159863,57,77,171,204
246,141,159859,61,57,170,205
247,143,159857,60,58,170,204
248,138,159862,53,58,170,205
249,148,159852,63,53,170,204
250,149,159851,60,59,171,203
251,159,159841,62,52,169,203
252,144,159856,57,72,169,203
253,143,159857,55,56,170,203
254,149,159851,53,47,170,202
255,145,159855,53,57,171,203
256,150,159850,59,54,170,203
257,163,159837,57,44,169,203
258,161,159839,60,62,170,203
259,157,159843,59,63,169,202
260,164,159836,59,52,169,202
261,172,159828,64,56,169,203
262,157,159843,60,75,169,202
263,151,159849,52,58,169,203
264,155,159845,50,46,168,203
265,146,159854,52,61,169,204
266,157,159843,54,43,169,204
267,155,159845,51,53,169,204
268,165,159835,55,45,169,203
269,155,159845,54,64,169,204
270,184,159816,65,36,169,203
271,172,159828,59,71,169,204
272,167,159833,63,68,170,204
273,179,159821,59,47,169,204
274,178,159822,51,52,169,205
275,162,159838,50,66,171,204
276,158,159842,52,56,171,203
277,146,159854,41,53,173,204
278,156,159844,46,36,171,205
279,152,159848,43,47,172,203
280,140,159860,37,49,172,204
281,143,159857,41,38,172,205
282,130,159870,31,44,171,205
283,143,159857,35,22,171,205
284,141,159859,42,44,172,204
285,165,159835,47,23,169,206
286,148,159852,46,63,172,205
287,178,159822,57,27,169,208
288,176,159824,62,64,171,205
289,189,159811,56,43,169,208
290,193,159807,59,55,170,206
291,199,159801,56,50,168,208
292,205,159795,64,58,168,207
293,207,159793,69,67,168,207
294,199,159801,66,74,169,205
295,210,159790,73,62,168,207
296,181,159819,53,82,169,205
297,193,159807,57,45,169,206
298,177,159823,49,65,168,206
299,179,159821,51,49,168,206
300,178,159822,46,47,168,205
301,191,159809,50,37,168,205
302,200,159800,53,44,168,204
303,190,159810,52,62,169,206
304,200,159800,61,51,169,206
305,207,159793,61,54,170,207
306,211,159789,67,63,168,205
307,187,159813,63,87,171,206
308,190,159810,64,61,170,207
309,189,159811,53,54,170,208
310,187,159813,55,57,170,205
311,192,159808,57,52,170,206
312,197,159803,55,50,170,205
313,190,159810,56,63,170,206
314,205,159795,60,45,170,204
315,211,159789,62,56,170,205
316,216,159784,65,60,169,204
317,228,159772,77,65,170,204
318,218,159782,60,70,169,202
319,222,159778,68,64,169,203
320,224,159776,71,69,168,201
321,211,159789,64,77,171,204
322,226,159774,77,62,172,203
323,198,159802,53,81,172,202
324,225,159775,70,43,173,202
325,216,159784,64,73,171,201
326,222,159778,72,66,172,202
327,215,159785,73,80,172,200
328,208,159792,59,66,171,201
329,221,159779,71,58,172,201
330,204,159796,62,79,170,200
331,223,159777,70,51,171,199
332,204,159796,58,77,168,201
333,218,159782,65,51,169,200
334,203,159797,56,71,168,199
335,218,159782,68,53,167,199
336,205,159795,54,67,168,199
337,206,159794,59,58,167,201
338,210,159790,59,55,167,199
339,209,159791,74,75,167,202
340,203,159797,62,68,167,199
341,218,159782,69,54,167,199
342,210,159790,52,60,168,199
343,220,159780,60,50,168,198
344,238,159762,70,52,167,199
345,251,159749,73,60,168,199
346,257,159743,83,77,168,198
347,250,159750,78,85,170,198
348,273,159727,111,88,169,198
349,276,159724,82,79,169,197
350,288,159712,103,91,168,198
351,302,159698,116,102,170,198
352,297,159703,100,105,169,198
353,312,159688,114,99,169,199
354,320,159680,128,120,169,199
355,326,159674,104,98,170,198
356,312,159688,110,124,169,199
357,324,159676,115,103,169,198
358,309,159691,112,127,170,197
359,319,159681,122,112,171,198
360,330,159670,127,116,170,198
361,331,159669,133,132,171,195
362,320,159680,126,137,169,197
363,307,159693,110,123,170,196
364,284,159716,112,135,169,197
365,304,159696,108,88,170,195
366,293,159707,109,120,170,197
367,267,159733,97,123,172,196
368,272,159728,93,88,170,197
369,270,159730,87,89,171,197
370,296,159704,103,77,170,197
371,292,159708,94,98,170,198
372,288,159712,98,102,168,198
373,284,159716,89,93,168,197
374,298,159702,100,86,167,196
375,336,159664,116,78,166,196
376,321,159679,119,134,166,196
377,325,159675,116,112,165,199
378,287,159713,97,135,165,196
379,310,159690,103,80,164,195
380,297,159703,97,110,166,195
381,312,159688,103,88,165,194
382,322,159678,107,97,165,194
383,331,159669,103,94,163,193
384,344,159656,126,113,164,195
385,359,159641,128,113,163,193
386,356,159644,119,122,163,193
387,372,159628,124,108,163,192
388,389,159611,146,129,162,192
389,376,159624,137,150,162,192
390,395,159605,152,133,163,192
391,370,159630,130,155,163,192
392,405,159595,152,117,161,191
393,400,159600,161,166,163,192
394,388,159612,126,138,163,192
395,384,159616,131,135,163,192
396,405,159595,162,141,163,191
397,393,159607,155,167,164,193
398,376,159624,136,153,163,191
399,366,159634,122,132,164,192
400,390,159610,121,97,161,191
401,382,159618,133,141,161,191
402,371,159629,129,140,163,193
403,389,159611,149,131,161,191
404,409,159591,154,134,161,193
405,406,159594,135,138,161,191
406,409,159591,144,141,161,192
407,399,159601,138,148,161,190
408,408,159592,147,138,161,191
409,419,159581,158,147,160,191
410,404,159596,143,158,162,191
411,391,159609,144,157,160,192
412,410,159590,144,125,161,192
413,434,159566,141,117,160,192
414,417,159583,149,166,160,192
415,427,159573,162,152,160,192
416,395,159605,142,174,160,191
417,402,159598,149,142,160,192
418,385,159615,132,149,160,191
419,386,159614,133,132,161,193
420,403,159597,147,130,160,192
421,404,159596,156,155,160,191
422,424,159576,149,129,161,191
423,422,159578,157,159,162,191
424,394,159606,146,174,161,190
425,422,159578,168,140,160,190
426,405,159595,152,169,160,190
427,405,159595,150,150,160,190
428,411,159589,138,132,160,189
429,429,159571,161,143,160,189
430,384,159616,142,187,161,190
431,376,159624,144,152,162,192
432,356,159644,137,157,161,192
433,350,159650,136,142,163,192
434,339,159661,126,137,163,193
435,341,159659,116,114,163,193
436,333,159667,121,129,164,195
437,334,159666,135,134,164,194
438,341,159659,123,116,164,194
439,348,159652,120,113,163,193
440,332,159668,114,130,163,192
441,327,159673,108,113,165,193
442,333,159667,120,114,162,190
443,324,159676,110,119,162,191
444,295,159705,96,125,165,192
445,278,159722,89,106,167,194
446,288,159712,95,85,167,194
447,300,159700,109,97,169,195
448,296,159704,109,113,169,195
449,273,159727,93,116,168,195
450,283,159717,101,91,167,194
451,264,159736,78,97,167,196
452,282,159718,86,68,167,195
453,268,159732,82,96,169,198
454,279,159721,77,66,169,197
455,263,159737,77,93,169,197
456,264,159736,73,72,169,197
457,257,159743,79,86,169,198
458,268,159732,78,67,168,197
459,249,159751,69,88,168,197
460,236,159764,66,79,169,198
461,226,159774,74,84,169,198
462,242,159758,71,55,169,197
463,230,159770,63,75,169,198
464,237,159763,66,59,169,197
465,236,159764,70,71,167,196
466,226,159774,67,77,165,195
467,223,159777,64,67,167,196
468,217,159783,62,68,166,195
469,216,159784,64,65,168,197
470,211,159789,61,66,167,196
471,227,159773,67,51,168,198
472,223,159777,61,65,166,197
473,216,159784,57,64,167,198
474,224,159776,63,55,166,197
475,201,159799,51,74,166,197
476,212,159788,55,44,166,196
477,202,159798,49,59,165,195
478,222,159778,57,37,165,195
479,214,159786,51,59,164,193
480,217,159783,55,52,165,194
481,227,159773,54,44,165,194
482,222,159778,57,62,165,194
483,215,159785,63,70,167,196
484,211,159789,62,66,167,195
485,210,159790,53,54,167,196
486,218,159782,58,50,166,195
487,226,159774,53,45,168,198
488,229,159771,57,54,168,198
489,240,159760,59,48,169,199
490,257,159743,71,54,169,200
491,266,159734,72,63,170,200
492,262,159738,80,84,169,200
493,273,159727,77,66,170,201
494,250,159750,74,97,168,200
495,273,159727,82,59,170,202
496,258,159742,68,83,170,202
497,269,159731,80,69,170,202
498,263,159737,82,88,168,201
499,294,159706,96,65,170,203
500,276,159724,81,99,169,201
501,292,159708,88,72,167,200
502,278,159722,78,92,168,201
503,290,159710,84,72,168,200
504,293,159707,100,97,168,202
